FID,OBJECTID,SHAPE,LAGE,GRILLPLATZ_ID,RESERVIERUNG,WEBLINK1,SE_ANNO_CAD_DATA
GRILLPLATZOGD.2250,2250,POINT (16.432403337024535 48.21329280566145),"22., Donauinsel, 500 Meter stromauf der Donaustadtbrücke (rechtes Ufer der Neuen Donau stromauf Wehr 1 - Uferbegleitweg)",11,ja,http://www.wien.gv.at/amtshelfer/umwelt/wasserbau/donauinsel/grillplatzreservierung.html,
GRILLPLATZOGD.2251,2251,POINT (16.384138192619442 48.25117104609154),"21., Donauinsel, 350 Meter stromauf der Floridsdorfer Brücke (Inselfläche)",12,ja,http://www.wien.gv.at/amtshelfer/umwelt/wasserbau/donauinsel/grillplatzreservierung.html,
GRILLPLATZOGD.2252,2252,POINT (16.37523865023214 48.26760220332155),"21., Neue Donau, Überfuhrstraße, linkes Ufer, 70 Meter stromab der Jedlerseer Brücke (Dammkrone)",13,ja,http://www.wien.gv.at/amtshelfer/umwelt/wasserbau/donauinsel/grillplatzreservierung.html,
GRILLPLATZOGD.2253,2253,POINT (16.46197536702889 48.191737790199035),"22., Donauinsel, auf Höhe der Steinspornbrücke, 100 Meter Richtung Donauufer (Inselfläche)",14,ja,http://www.wien.gv.at/amtshelfer/umwelt/wasserbau/donauinsel/grillplatzreservierung.html,
GRILLPLATZOGD.2254,2254,POINT (16.465240089955874 48.19018158068671),"22., Donauinsel, 300 Meter stromab der Steinspornbrücke (Inselmitte, Erdwall)",15,ja,http://www.wien.gv.at/amtshelfer/umwelt/wasserbau/donauinsel/grillplatzreservierung.html,
GRILLPLATZOGD.2255,2255,POINT (16.47990003130098 48.18435504468705),"22., Neue Donau, linkes Ufer, zwischen Steinspornbrücke und Waluliso Brücke (Dammbereich) bei Kilometer 5,2",16,ja,http://www.wien.gv.at/amtshelfer/umwelt/wasserbau/donauinsel/grillplatzreservierung.html,
GRILLPLATZOGD.2256,2256,POINT (16.46551396202498 48.17620446218431),"11., Am Kanal, Alberner Hafenzufahrtstraße, Nähe Margetinstraße",0,nein,http://www.wien.gv.at/umwelt/wald/freizeit/grillen/,
GRILLPLATZOGD.2257,2257,POINT (16.225975206849082 48.206303244087934),"14., Auhof - Retentionsbecken",0,nein,http://www.wien.gv.at/umwelt/wald/freizeit/grillen/,
GRILLPLATZOGD.2258,2258,POINT (16.274981913600275 48.21760160018477),"16., Steinbruchwiese im Ottakringer Wald",0,nein,http://www.wien.gv.at/umwelt/wald/freizeit/grillen/,
GRILLPLATZOGD.2259,2259,POINT (16.266345600287643 48.24589386229711),"17., Rohrerbadwiese bei der Exelbergstraße",0,nein,http://www.wien.gv.at/umwelt/wald/freizeit/grillen/,
GRILLPLATZOGD.2260,2260,POINT (16.329542998531192 48.26792120668352),"19., Krapfenwaldgasse an der Höhenstraße, beim Krapfenwaldbad",0,nein,http://www.wien.gv.at/umwelt/wald/freizeit/grillen/,
GRILLPLATZOGD.2261,2261,POINT (16.34061435494535 48.15047942147054),"23., Draschepark, Ecke Triester Straße/Sterngasse",0,nein,http://www.wien.gv.at/umwelt/wald/freizeit/grillen/,
GRILLPLATZOGD.2262,2262,POINT (16.433125566959358 48.21220092088741),"22., Donauinsel, etwa 100 m stromauf des Wehr 1",0,ja,http://www.wien.gv.at/amtshelfer/umwelt/wasserbau/donauinsel/grillplatzreservierung.html,
GRILLPLATZOGD.2241,2241,POINT (16.375082023045053 48.267816381915026),"21.,Neue Donau, linkes Ufer, 50 Meter stromab der Jedleseer Brücke (Dammkrone)",1,ja,http://www.wien.gv.at/amtshelfer/umwelt/wasserbau/donauinsel/grillplatzreservierung.html,
GRILLPLATZOGD.2242,2242,POINT (16.382762569273147 48.254600415080645),"21., Donauinsel, 750 Meter stromauf der Floridsdorfer Brücke (rechtes Ufer der Neuen Donau - Uferbegleitweg)",2,ja,http://www.wien.gv.at/amtshelfer/umwelt/wasserbau/donauinsel/grillplatzreservierung.html,
GRILLPLATZOGD.2243,2243,POINT (16.383349305977866 48.25343188092247),"21., Donauinsel, 600 Meter stromauf der Floridsdorfer Brücke (rechtes Ufer der Neuen Donau - Uferbegleitweg)",3,ja,http://www.wien.gv.at/amtshelfer/umwelt/wasserbau/donauinsel/grillplatzreservierung.html,
GRILLPLATZOGD.2244,2244,POINT (16.383408385677644 48.251787646761045),"21., Donauinsel, 450 Meter stromauf der Floridsdorfer Brücke (Inselfläche)",4,ja,http://www.wien.gv.at/amtshelfer/umwelt/wasserbau/donauinsel/grillplatzreservierung.html,
GRILLPLATZOGD.2245,2245,POINT (16.398417387174323 48.24194696222426),"21., Neue Donau, 150 Meter stromauf der Brigittenauer Brücke (linkes Ufer, Kilometer 14,2)",6,ja,http://www.wien.gv.at/amtshelfer/umwelt/wasserbau/donauinsel/grillplatzreservierung.html,
GRILLPLATZOGD.2246,2246,POINT (16.411664887754657 48.22757787484648),"22., Donauinsel, 20 Meter stromab der Reichsbrücke (rechtes Ufer der Neuen Donau)",7,ja,http://www.wien.gv.at/amtshelfer/umwelt/wasserbau/donauinsel/grillplatzreservierung.html,
GRILLPLATZOGD.2247,2247,POINT (16.432040901797055 48.21627730720321),"22., Neue Donau, linkes Ufer, 400 Meter stromab Parkplatz, Neue Donau-Mitte (Ausfahrt A22 - Kaisermühlen)",8,ja,http://www.wien.gv.at/amtshelfer/umwelt/wasserbau/donauinsel/grillplatzreservierung.html,
GRILLPLATZOGD.2248,2248,POINT (16.43034948097512 48.214790030283986),"22., Donauinsel, 750 Meter stromauf der Donaustadtbrücke (rechtes Ufer der Neuen Donau stromauf Wehr 1 - Uferbegleitweg)",9,ja,http://www.wien.gv.at/amtshelfer/umwelt/wasserbau/donauinsel/grillplatzreservierung.html,
GRILLPLATZOGD.2249,2249,POINT (16.431459968883107 48.21411452576752),"22., 650 Meter stromauf der Donaustadtbrücke (rechtes Ufer der Neuen Donau stromauf Wehr 1 - Uferbegleitweg)",10,ja,http://www.wien.gv.at/amtshelfer/umwelt/wasserbau/donauinsel/grillplatzreservierung.html,
