FID,SHAPE,BEZIRK,ADRESSE,WEITERE_INFORMATION,TERMINE,SE_SDO_ROWID,SE_ANNO_CAD_DATA,STANDORT_ID
MOBPROBLEMSTOFFOGD.227880,POINT (16.321660197078927 48.181642445371466),12,Bischoffgasse vor 16,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227880,,12M2
MOBPROBLEMSTOFFOGD.227881,POINT (16.46959127708081 48.155235855376354),11,Hoefftgasse neben 7,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227881,,11M3
MOBPROBLEMSTOFFOGD.227882,POINT (16.385461464892618 48.152639524931395),10,Ada-Christen-Gasse vor 2B,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227882,,10M4
MOBPROBLEMSTOFFOGD.227883,POINT (16.392987054149657 48.139690748075374),10,Grundäckergasse ggü 55,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227883,,10M3
MOBPROBLEMSTOFFOGD.227884,POINT (16.35156032480324 48.20469553922908),7,Kirchengasse ggü 41,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227884,,7M4
MOBPROBLEMSTOFFOGD.227885,POINT (16.339289195900374 48.207144875553304),7,Bernardgasse vor 35,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227885,,7M3
MOBPROBLEMSTOFFOGD.227886,POINT (16.352824022645173 48.19365156291058),6,Mollardgasse ggü 5,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227886,,6M4
MOBPROBLEMSTOFFOGD.227887,POINT (16.342359432705216 48.21224202555635),8,Bennoplatz vor 5,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227887,,8M4
MOBPROBLEMSTOFFOGD.227888,POINT (16.372885759476084 48.18669895901276),4,Südtiroler Platz vor 3,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227888,,4M4
MOBPROBLEMSTOFFOGD.227889,POINT (16.37588245727446 48.19011722523998),4,St.-Elisabeth-Platz vor 5,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227889,,4M3
MOBPROBLEMSTOFFOGD.227890,POINT (16.349835741813504 48.18168242833926),5,Siebenbrunnenfeldgasse ggü 13,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227890,,5M2
MOBPROBLEMSTOFFOGD.227891,POINT (16.364736996266494 48.218933932784154),9,Berggasse vor 26-28,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227891,,9M2
MOBPROBLEMSTOFFOGD.227892,POINT (16.375400674738838 48.17652927813901),10,Pernerstorfergasse vor 30 (Viktor-Adler-Markt),http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227892,,10M5
MOBPROBLEMSTOFFOGD.227816,POINT (16.353704968061457 48.22187237169078),9,Währinger Straße ggü 48-52 ,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227816,,9M4
MOBPROBLEMSTOFFOGD.227817,POINT (16.362077811111206 48.22566106767954),9,Julius-Tandler-Platz vor 7,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227817,,9M1
MOBPROBLEMSTOFFOGD.227818,POINT (16.36030331756798 48.19966521014738),6,Gumpendorfer Straße vor 18,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227818,,6M3
MOBPROBLEMSTOFFOGD.227819,POINT (16.35135413080633 48.19807509050419),6,Schadekgasse ggü 18,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227819,,6M1
MOBPROBLEMSTOFFOGD.227820,POINT (16.357661862332986 48.19171504245519),5,Pilgramgasse vor 4,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227820,,5M4
MOBPROBLEMSTOFFOGD.227821,POINT (16.359603388462425 48.187279614581875),5,Zentagasse vor 11-13,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227821,,5M3
MOBPROBLEMSTOFFOGD.227822,POINT (16.34734264758313 48.18754945760819),5,Am Hundsturm ggü 2-4,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227822,,5M1
MOBPROBLEMSTOFFOGD.227823,POINT (16.38212869148628 48.19930554360243),3,Am Modenapark ggü 10,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227823,,3M3
MOBPROBLEMSTOFFOGD.227824,POINT (16.40186290125078 48.19760570325039),3,Kardinal-Nagl-Platz ggü 14,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227824,,3M1
MOBPROBLEMSTOFFOGD.227825,POINT (16.386566382365135 48.21635181641474),2,Rotensterngasse vor 37,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227825,,2M1
MOBPROBLEMSTOFFOGD.227777,POINT (16.391868975827606 48.20265981531225),3,Erdbergstraße vor 3 (Rochusmarkt),http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227777,,3M4
MOBPROBLEMSTOFFOGD.227778,POINT (16.411942163558393 48.277058448185045),21,Berzeliusplatz vor 2,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227778,,21M4
MOBPROBLEMSTOFFOGD.227779,POINT (16.38554229509272 48.290949762222944),21,Meriangasse ggü 1,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227779,,21M3
MOBPROBLEMSTOFFOGD.227780,POINT (16.378082503900366 48.246291699007784),20,Kapaunplatz vor 8,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227780,,20M3
MOBPROBLEMSTOFFOGD.227781,POINT (16.400418854167505 48.2782896821482),21,Mitterhofergasse vor 2,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227781,,21M2
MOBPROBLEMSTOFFOGD.227782,POINT (16.326776038017417 48.2092145713117),16,Richard-Wagner-Platz ggü 10,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227782,,16M2
MOBPROBLEMSTOFFOGD.227783,POINT (16.326425268798058 48.19097780858667),15,Schwendergasse vor 33 (Schwendermarkt),http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227783,,15M5
MOBPROBLEMSTOFFOGD.227784,POINT (16.320839955425622 48.19853432728591),15,Wurmsergasse vor 35 (Meiselmarkt),http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227784,,15M4
MOBPROBLEMSTOFFOGD.227785,POINT (16.389361927445698 48.26042221823595),21,Dunantgasse vor 2,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227785,,21M1
MOBPROBLEMSTOFFOGD.227786,POINT (16.346373851628194 48.23122894364972),18,Mollgasse ggü 19,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227786,,18M2
MOBPROBLEMSTOFFOGD.227787,POINT (16.3282959634805 48.231154029490305),18,Herbeckstraße vor 2,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227787,,18M1
MOBPROBLEMSTOFFOGD.227788,POINT (16.32166751116732 48.218949667937736),17,Clemens-Hofbauer-Platz vor 13,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227788,,17M1
MOBPROBLEMSTOFFOGD.227789,POINT (16.317924468198214 48.21413957481863),16,Familienplatz ggü 2,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227789,,16M1
MOBPROBLEMSTOFFOGD.227790,POINT (16.242553795249044 48.208695129661315),14,Anzbachgasse ggü 140-142,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227790,,14M2
MOBPROBLEMSTOFFOGD.227791,POINT (16.260923978924918 48.20199109240576),14,Rosentalgasse ggü 2,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227791,,14M1
MOBPROBLEMSTOFFOGD.227792,POINT (16.401332739448968 48.261368867278186),21,Floridsdorfer Markt vor 9,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227792,,21M5
MOBPROBLEMSTOFFOGD.227793,POINT (16.368206689126104 48.23249239199215),20,Hannovergasse vor 33 (Hannovermarkt),http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227793,,20M1
MOBPROBLEMSTOFFOGD.227794,POINT (16.326883073457957 48.17109660970773),12,Oswaldgasse vor 12,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227794,,12M1
MOBPROBLEMSTOFFOGD.227795,POINT (16.37089536232393 48.16894892409717),10,Troststraße vor 45,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227795,,10M2
MOBPROBLEMSTOFFOGD.227796,POINT (16.348782591497166 48.154193141529674),10,Otto-Probst-Platz vor 1,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227796,,10M1
MOBPROBLEMSTOFFOGD.227797,POINT (16.41978465937498 48.168987605046944),11,Hasenleitengasse vor 6,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227797,,11M2
MOBPROBLEMSTOFFOGD.227798,POINT (16.37284913590134 48.211035738454605),1,Hoher Markt vor 9,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227798,,1M1
MOBPROBLEMSTOFFOGD.227799,POINT (16.36951799943819 48.22565361554004),20,Gaußplatz vor 3,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227799,,2M2
