FID,SHAPE,STRASSE,STELLPL_ANZ,BEZIRK,SE_SDO_ROWID,SE_ANNO_CAD_DATA
MOTORRADABSTELLPLATZOGD.327344,POINT (16.32515322916597 48.19090850760946),Mariahilfer Straﬂe,103,15,327344,
MOTORRADABSTELLPLATZOGD.327345,POINT (16.323396990082994 48.190532234575066),Mariahilfer Straﬂe,13,15,327345,
MOTORRADABSTELLPLATZOGD.327346,POINT (16.32765954722596 48.16616884965853),Graffitistraﬂe,7,12,327346,
MOTORRADABSTELLPLATZOGD.327347,POINT (16.38028908877095 48.14997666617926),Stockholmer Platz,3,10,327347,
MOTORRADABSTELLPLATZOGD.327348,POINT (16.312364890063407 48.1662907204425),Hetzendorfer Straﬂe,4,12,327348,
MOTORRADABSTELLPLATZOGD.327349,POINT (16.348984788723005 48.18986810045986),Mollardgasse,7,6,327349,
MOTORRADABSTELLPLATZOGD.327350,POINT (16.350275576876456 48.190161497927235),Molladgasse,7,6,327350,
MOTORRADABSTELLPLATZOGD.327351,POINT (16.34818658527873 48.19247322544327),Webgasse,6,6,327351,
MOTORRADABSTELLPLATZOGD.327352,POINT (16.349488586552354 48.19519194881407),Otto-Bauer-Gasse,7,6,327352,
MOTORRADABSTELLPLATZOGD.327353,POINT (16.354719313198697 48.20417512881763),Burggasse,3,7,327353,
MOTORRADABSTELLPLATZOGD.327354,POINT (16.37009854590726 48.21719756597869),Schottenring,6,1,327354,
MOTORRADABSTELLPLATZOGD.327355,POINT (16.47696217024081 48.217552072732914),Trondheimgasse,3,22,327355,
MOTORRADABSTELLPLATZOGD.327356,POINT (16.476133777085558 48.21622793393749),Trondheimgasse,2,22,327356,
MOTORRADABSTELLPLATZOGD.327357,POINT (16.36972085968486 48.18683988723861),Schˆnburgstraﬂe,4,4,327357,
MOTORRADABSTELLPLATZOGD.327358,POINT (16.35932513591125 48.171948785469404),Malborghetgasse,8,10,327358,
MOTORRADABSTELLPLATZOGD.327359,POINT (16.340078729735104 48.19190894849466),Strohmayergasse,10,6,327359,
MOTORRADABSTELLPLATZOGD.327360,POINT (16.34607491565239 48.15496665278659),Otto-Probst-Straﬂe,6,10,327360,
MOTORRADABSTELLPLATZOGD.327361,POINT (16.34601527042514 48.23039693252939),Edelhofgasse,7,18,327361,
MOTORRADABSTELLPLATZOGD.327362,POINT (16.367873569889696 48.21145785194675),Am Hof,17,1,327362,
MOTORRADABSTELLPLATZOGD.327363,POINT (16.389964926406616 48.20542267463249),Uchatiusgasse,5,3,327363,
MOTORRADABSTELLPLATZOGD.327364,POINT (16.387043316893134 48.168375341900656),Absberggasse,5,10,327364,
MOTORRADABSTELLPLATZOGD.327365,POINT (16.31564904904347 48.19472313874019),Goldschlagstraﬂe,5,15,327365,
MOTORRADABSTELLPLATZOGD.327366,POINT (16.319627332129137 48.19741212018937),Eduard-Sueﬂ-Gasse,3,15,327366,
MOTORRADABSTELLPLATZOGD.327367,POINT (16.31164108802216 48.19565207613648),Goldschlagstraﬂe,7,14,327367,
MOTORRADABSTELLPLATZOGD.327368,POINT (16.413623363091624 48.18395150989702),Modecenterstraﬂe,7,3,327368,
MOTORRADABSTELLPLATZOGD.327369,POINT (16.35722898879516 48.22712276350748),Lichtentaler Gasse,5,9,327369,
MOTORRADABSTELLPLATZOGD.327370,POINT (16.343005609755835 48.18945219168664),Hornbostelgasse,5,6,327370,
MOTORRADABSTELLPLATZOGD.327371,POINT (16.343073653139097 48.2250099763489),Schulgasse,7,18,327371,
MOTORRADABSTELLPLATZOGD.327372,POINT (16.390851263250337 48.14225147413983),Kurt-Tichy-Gasse,6,10,327372,
MOTORRADABSTELLPLATZOGD.327373,POINT (16.40235811431874 48.22660894494678),Wehlistraﬂe,2,2,327373,
MOTORRADABSTELLPLATZOGD.327374,POINT (16.373425594820606 48.19455295698073),Argentinierstraﬂe,9,4,327374,
MOTORRADABSTELLPLATZOGD.327375,POINT (16.441486154819387 48.25209053510785),Anton-Sattler-Gasse,4,22,327375,
MOTORRADABSTELLPLATZOGD.327376,POINT (16.383003597696604 48.17412082010887),Buchengasse,5,10,327376,
MOTORRADABSTELLPLATZOGD.327377,POINT (16.356529989606834 48.1902714590786),Br‰uhausgasse,4,5,327377,
MOTORRADABSTELLPLATZOGD.327378,POINT (16.35757424335731 48.21195660415964),Ebendorferstraﬂe,9,1,327378,
MOTORRADABSTELLPLATZOGD.327379,POINT (16.356565293317548 48.190220039529436),Br‰uhausgasse,5,5,327379,
MOTORRADABSTELLPLATZOGD.327380,POINT (16.33884085025492 48.2072677269306),Bernardgasse,4,7,327380,
MOTORRADABSTELLPLATZOGD.327381,POINT (16.33233306137272 48.22553117407163),Lacknergasse,7,18,327381,
MOTORRADABSTELLPLATZOGD.327382,POINT (16.431533787778438 48.24161150951351),Donizettiweg,10,22,327382,
MOTORRADABSTELLPLATZOGD.327383,POINT (16.345611432971562 48.214210999410795),Feldgasse,4,8,327383,
MOTORRADABSTELLPLATZOGD.327384,POINT (16.348538824378757 48.19433816342408),Liniengasse,8,6,327384,
MOTORRADABSTELLPLATZOGD.327385,POINT (16.332436423697523 48.17969747493106),Hilschergasse,7,12,327385,
MOTORRADABSTELLPLATZOGD.327386,POINT (16.34050951330057 48.22684496491969),W‰hringer Straﬂe,4,18,327386,
MOTORRADABSTELLPLATZOGD.327387,POINT (16.418282298724098 48.18571244994517),Guglgasse,,3,327387,
MOTORRADABSTELLPLATZOGD.327388,POINT (16.46039088279575 48.1521121553062),Rosa-Jochmann-Ring,2,11,327388,
MOTORRADABSTELLPLATZOGD.327389,POINT (16.398801974046044 48.19542563125364),Rabengasse,8,3,327389,
MOTORRADABSTELLPLATZOGD.327390,POINT (16.367598113810462 48.18501218820511),Blechturmgasse,6,5,327390,
MOTORRADABSTELLPLATZOGD.327391,POINT (16.457442446811264 48.25339903438693),Markomannenstraﬂe,7,22,327391,
MOTORRADABSTELLPLATZOGD.327392,POINT (16.354455491352432 48.19728077429387),Luftbadgasse,7,6,327392,
MOTORRADABSTELLPLATZOGD.327713,POINT (16.39072625674749 48.26452447174685),Voltagasse,4,21,327713,
MOTORRADABSTELLPLATZOGD.327714,POINT (16.389020973199717 48.26304566469835),Edisonstraﬂe,7,21,327714,
MOTORRADABSTELLPLATZOGD.327715,POINT (16.348400756689156 48.207928378491076),Pfeilgasse,5,8,327715,
MOTORRADABSTELLPLATZOGD.327716,POINT (16.328768985009493 48.177016545101374),Ratschkygasse,7,12,327716,
MOTORRADABSTELLPLATZOGD.327717,POINT (16.32382130568132 48.19044603206924),Mariahilfer Straﬂe,42,15,327717,
MOTORRADABSTELLPLATZOGD.327718,POINT (16.32381419186862 48.190729537596525),Kauergasse,13,15,327718,
MOTORRADABSTELLPLATZOGD.327719,POINT (16.35189909261141 48.23341226088781),Werkmanngasse,8,19,327719,
MOTORRADABSTELLPLATZOGD.327720,POINT (16.320777609088378 48.21629330845158),Wichtelgasse,8,16,327720,
MOTORRADABSTELLPLATZOGD.327721,POINT (16.433515508974043 48.259065411569495),Viehtriftgasse,3,21,327721,
MOTORRADABSTELLPLATZOGD.327722,POINT (16.410604694030443 48.25287552939325),Nordmanngasse,4,21,327722,
MOTORRADABSTELLPLATZOGD.327723,POINT (16.357504654582264 48.18171311241992),Leopold-Rister-Straﬂe,9,5,327723,
MOTORRADABSTELLPLATZOGD.327724,POINT (16.36420819557483 48.18472566602542),Hauslabgasse,7,5,327724,
MOTORRADABSTELLPLATZOGD.327725,POINT (16.471523124052265 48.15256105915397),Dreherstraﬂe,3,11,327725,
MOTORRADABSTELLPLATZOGD.327726,POINT (16.422571156896666 48.16423058992999),Lorystraﬂe,7,11,327726,
MOTORRADABSTELLPLATZOGD.327727,POINT (16.349274206944738 48.193332817748285),Gumpendorfer Straﬂe,7,6,327727,
MOTORRADABSTELLPLATZOGD.327728,POINT (16.346633572289132 48.189730937321514),Mollardgasse,9,6,327728,
MOTORRADABSTELLPLATZOGD.327729,POINT (16.345266100249585 48.18787816292848),Schˆnbrunner Straﬂe,7,5,327729,
MOTORRADABSTELLPLATZOGD.327730,POINT (16.40288390254613 48.2563231521949),Schloﬂhofer Straﬂe,4,21,327730,
MOTORRADABSTELLPLATZOGD.327731,POINT (16.347937676093988 48.21155750600663),Fuhrmannsgasse,2,8,327731,
MOTORRADABSTELLPLATZOGD.327732,POINT (16.36548294365557 48.19716084014401),Schleifm¸hlgasse,3,4,327732,
MOTORRADABSTELLPLATZOGD.327733,POINT (16.346294428199602 48.19042313819315),Dominikanergasse,10,6,327733,
MOTORRADABSTELLPLATZOGD.327734,POINT (16.395069051615067 48.143041612078854),Bahnl‰nde,4,10,327734,
MOTORRADABSTELLPLATZOGD.327735,POINT (16.3419577627812 48.18958676527539),Mollardgasse,10,6,327735,
MOTORRADABSTELLPLATZOGD.327736,POINT (16.3513579243429 48.19699627546459),Bl¸melgasse,4,6,327736,
MOTORRADABSTELLPLATZOGD.327737,POINT (16.36195707439351 48.200974612113676),Gumpendorfer Straﬂe,7,6,327737,
MOTORRADABSTELLPLATZOGD.327738,POINT (16.361111993469073 48.1977691189644),Linke Wienzeile,7,6,327738,
MOTORRADABSTELLPLATZOGD.327739,POINT (16.341473243226027 48.20538359139602),Halbgasse,5,7,327739,
MOTORRADABSTELLPLATZOGD.327740,POINT (16.34713047631689 48.20425063619633),Burggasse,4,7,327740,
MOTORRADABSTELLPLATZOGD.327741,POINT (16.33931312452878 48.20952620515187),Lerchenfelder G¸rtel,1,8,327741,
MOTORRADABSTELLPLATZOGD.327742,POINT (16.344475302222996 48.19840395921516),Apollogasse,8,7,327742,
MOTORRADABSTELLPLATZOGD.327743,POINT (16.392051991429334 48.21196327224325),Obere Weiﬂgerberstraﬂe,6,3,327743,
MOTORRADABSTELLPLATZOGD.327744,POINT (16.310245838024212 48.21330142113499),Enenkelstraﬂe,7,16,327744,
MOTORRADABSTELLPLATZOGD.327745,POINT (16.347625876265738 48.20604652670149),Myrthengasse,3,7,327745,
MOTORRADABSTELLPLATZOGD.327746,POINT (16.338033032089903 48.241945610248486),Hutweidengasse,5,19,327746,
MOTORRADABSTELLPLATZOGD.327747,POINT (16.392091617051673 48.21204305653944),Obere Weiﬂgerberstraﬂe,4,3,327747,
MOTORRADABSTELLPLATZOGD.327748,POINT (16.338597620452195 48.21474396833591),Veronikagasse,4,17,327748,
MOTORRADABSTELLPLATZOGD.327749,POINT (16.458653033996058 48.15323625305702),Rosa-Jochmann-Ring,7,11,327749,
MOTORRADABSTELLPLATZOGD.327750,POINT (16.360342623102145 48.19817643742834),Laimgrubengasse,7,6,327750,
MOTORRADABSTELLPLATZOGD.327751,POINT (16.362742604748 48.198537310218),Linke Wienzeile,6,6,327751,
MOTORRADABSTELLPLATZOGD.327752,POINT (16.36710437685276 48.254211416219576),Kreilplatz,7,19,327752,
MOTORRADABSTELLPLATZOGD.327753,POINT (16.354111278594115 48.19133439898292),Rechte Wienzeile,4,5,327753,
MOTORRADABSTELLPLATZOGD.327754,POINT (16.3698627706468 48.252262996640574),Muthgasse,,19,327754,
MOTORRADABSTELLPLATZOGD.327755,POINT (16.369774780433335 48.25129466792005),Holzgasse,,19,327755,
MOTORRADABSTELLPLATZOGD.327756,POINT (16.33191005640502 48.23710379845755),Peter-Jordan-Straﬂe,3,19,327756,
MOTORRADABSTELLPLATZOGD.327757,POINT (16.391787972892967 48.17565747285098),Gudrunstraﬂe,4,10,327757,
MOTORRADABSTELLPLATZOGD.327758,POINT (16.338334310659054 48.22884997330256),Hofstattgasse,4,18,327758,
MOTORRADABSTELLPLATZOGD.327759,POINT (16.380302207569432 48.17639023675797),Wielandplatz,10,10,327759,
MOTORRADABSTELLPLATZOGD.327760,POINT (16.37213360734195 48.21054867555635),Landskrongasse,,1,327760,
MOTORRADABSTELLPLATZOGD.327761,POINT (16.281541093877376 48.1769810901064),Jagdschloﬂgasse,4,13,327761,
MOTORRADABSTELLPLATZOGD.327762,POINT (16.36806817238269 48.15736945576665),Braheplatz,4,10,327762,
MOTORRADABSTELLPLATZOGD.327763,POINT (16.422614347181124 48.16420883422593),Lorystraﬂe,12,11,327763,
MOTORRADABSTELLPLATZOGD.327764,POINT (16.46462820903473 48.15794617325991),Paulasgasse,4,11,327764,
MOTORRADABSTELLPLATZOGD.327765,POINT (16.434502112829055 48.25294793988139),Ullreichgasse,8,22,327765,
MOTORRADABSTELLPLATZOGD.327766,POINT (16.334571189073944 48.22363829220372),Weidmanngasse,6,17,327766,
MOTORRADABSTELLPLATZOGD.327767,POINT (16.337142924395145 48.241226778320815),Sailer‰ckergasse,4,19,327767,
MOTORRADABSTELLPLATZOGD.327768,POINT (16.472164411559685 48.234486114968846),Emichgasse,,22,327768,
MOTORRADABSTELLPLATZOGD.327769,POINT (16.343289158205188 48.20022727278373),Schottenfeldgasse,4,7,327769,
MOTORRADABSTELLPLATZOGD.327770,POINT (16.299149299986503 48.18108895080933),Tiroler Gasse,3,13,327770,
MOTORRADABSTELLPLATZOGD.327771,POINT (16.35039863231287 48.209506821277486),Josefst‰dter Straﬂe,4,8,327771,
MOTORRADABSTELLPLATZOGD.327772,POINT (16.4581942037227 48.22048188207006),Hardeggasse,7,22,327772,
MOTORRADABSTELLPLATZOGD.327773,POINT (16.363087687091507 48.19988897097177),Lehargasse,7,6,327773,
MOTORRADABSTELLPLATZOGD.327774,POINT (16.31128343454654 48.230907586539956),Czartoryskigasse,5,17,327774,
MOTORRADABSTELLPLATZOGD.327775,POINT (16.363882722868755 48.167253977738376),Neilreichgasse,,10,327775,
MOTORRADABSTELLPLATZOGD.327776,POINT (16.528293855466185 48.21190283782988),Rosalia-Chladek-Gasse,6,22,327776,
MOTORRADABSTELLPLATZOGD.327777,POINT (16.345206930233186 48.21224371183298),Skodagasse,4,8,327777,
MOTORRADABSTELLPLATZOGD.327778,POINT (16.302422873174358 48.14848356202549),Josef-÷sterreicher-Gasse,4,23,327778,
MOTORRADABSTELLPLATZOGD.327779,POINT (16.35412813509359 48.209201736099885),Josefst‰dter Straﬂe,3,8,327779,
MOTORRADABSTELLPLATZOGD.327780,POINT (16.338934359753697 48.25566878886021),Mannagettagasse,5,19,327780,
