FID,OBJECTID,SHAPE,ADRESSE,ZEITRAUM,STELLPLATZANZAHL,SE_ANNO_CAD_DATA
TAXIOGD.114,114,"LINESTRING (16.389805489121393 48.217408558809126, 16.39003389495454 48.217524216281284)","2., Praterstraße 76-78",,4,
TAXIOGD.115,115,"LINESTRING (16.343574637322543 48.187436990395604, 16.3440501533538 48.187558023759955)","5., Schönbrunner Straße ggü. 145-149",,6,
TAXIOGD.116,116,"LINESTRING (16.361369776590724 48.19359170483686, 16.36119704199568 48.193373165265534)","5., Margaretenstraße 60-62",,5,
TAXIOGD.117,117,"LINESTRING (16.43144597006687 48.25349965392231, 16.431353865049903 48.253343372763716)","21., Josef-Baumann-Gasse 8",,3,
TAXIOGD.118,118,"LINESTRING (16.33458563335041 48.23692505322717, 16.334587013822652 48.236726010500085)","18., Dänenstraße 2A",,4,
TAXIOGD.119,119,"LINESTRING (16.342281315495978 48.22651536551952, 16.34222595643563 48.22611137491235)","18., Martinstraße 96-98",,7,
TAXIOGD.120,120,"LINESTRING (16.342224045857996 48.22610245381121, 16.34218395560948 48.22578639734961)","18., Martinstraße 96-98",von 6-21h,6,
TAXIOGD.121,121,"LINESTRING (16.352384645333988 48.186205433027204, 16.352900358320507 48.18638194817872)","5., Arbeitergasse 19",,8,
TAXIOGD.122,122,"LINESTRING (16.350517159811723 48.20934756539748, 16.350579904550337 48.20910576022608)","8., Piaristengasse 35-37",,5,
TAXIOGD.123,123,"LINESTRING (16.34944876509494 48.20634414441349, 16.349798896074287 48.20632662258592)","7., Lerchenfelder Straße 41-43",,5,
TAXIOGD.124,124,"LINESTRING (16.317504962450993 48.185408366933174, 16.317051534982426 48.18557038655102)","13., Schönbrunner Schloßstraße (Schloß Schönbrunn)",v. 20-4h,6,
TAXIOGD.125,125,"LINESTRING (16.313122881538376 48.18761054444861, 16.31293509100848 48.187257030974706)","13., Schönbrunner Schloßbrücke",,8,
TAXIOGD.126,126,"LINESTRING (16.400555943516515 48.26768357356499, 16.400296995046247 48.26773063657336)","21., Karl-Schäfer-Straße 1",,4,
TAXIOGD.127,127,"LINESTRING (16.408293302619455 48.27626916736351, 16.40811624058475 48.2759340111525)","21., Brünenr Straße 131-133",,7,
TAXIOGD.128,128,"LINESTRING (16.408110713220516 48.275901382132965, 16.408066082028427 48.275816530111335)","21., Brünner Straße 129",,2,
TAXIOGD.129,129,"LINESTRING (16.395627104147366 48.256080733793794, 16.395867911838806 48.25597291525339)","21., Wolfsschanzengasse 16",,4,
TAXIOGD.130,130,"LINESTRING (16.44198722507986 48.15429053116262, 16.44209036964452 48.15439435208677, 16.442228399587677 48.15433803701166, 16.44228433337648 48.154316236249116)","11., Simmeringer Hauptstraße 236",,6,
TAXIOGD.131,131,"LINESTRING (16.354583086268093 48.19202375071007, 16.35483385889605 48.19248352906468)","5., Rechte Wienzeile 91-97",,9,
TAXIOGD.132,132,"LINESTRING (16.358997162193297 48.19716474933119, 16.359186395443476 48.19673411836718)","5., Kettenbrücke (Naschmarkt)",,8,
TAXIOGD.133,133,"LINESTRING (16.415935356314744 48.23291407791319, 16.415575196764404 48.23272010837322)","22., Platz-der-Vereinten-Nationen ggü. 2",,5,
TAXIOGD.134,134,"LINESTRING (16.368150010595585 48.21017806321896, 16.368305335360958 48.21009211020497, 16.36840656494212 48.21003370706747, 16.368498689088604 48.20997852933927, 16.368560277396405 48.209934104770184, 16.36860793572969 48.20989111515208, 16.368637385591466 48.2098603085587)","1., Bognergasse 1-5",,10,
TAXIOGD.135,135,"LINESTRING (16.3646484243428 48.19954368605638, 16.365033100561188 48.19975508708567)","6., Linke Wienzeile 4",,7,
TAXIOGD.1,1,"LINESTRING (16.48414601729984 48.239157877962974, 16.48428803499524 48.23892437153532)","22., Zanggasse (Bereich Quadenstraße)",,5,
TAXIOGD.2,2,"LINESTRING (16.464095996923295 48.21911321187039, 16.46400970031052 48.2191440926632)","22., Langobardenstraße (Parkplatz SMZ-Ost)",,1,
TAXIOGD.3,3,"LINESTRING (16.46323563367008 48.21942413300924, 16.463647173944018 48.219277422361905)","22., Langobardenstraße (Parkplatz SMZ-Ost)",,6,
TAXIOGD.4,4,"LINESTRING (16.446731159080887 48.23376329792167, 16.446633798938496 48.23337774220493)","22., Siebenbürgerstraße 1",,8,
TAXIOGD.5,5,"LINESTRING (16.34204899123709 48.19615010867834, 16.342335256075206 48.19589791742342)","6., Stumpergasse 62-64",,6,
TAXIOGD.6,6,"LINESTRING (16.46651352606439 48.19356909356431, 16.466386431231747 48.193654360630475)","22., Raffineriestraße ggü. Biberhaufenweg",v.1.5.-30.9.,4,
TAXIOGD.7,7,"LINESTRING (16.48724872720107 48.217433138015295, 16.487573061972938 48.21738495395233)","22., Siegesplatz 12",,4,
TAXIOGD.8,8,"LINESTRING (16.335825920125707 48.17532498206965, 16.335842947652885 48.175289905137504, 16.335850563019406 48.17528353794519, 16.335861985206353 48.17527908181986, 16.33587436035034 48.17527717190279, 16.335888638063636 48.175276534529, 16.335905771315097 48.17527717194727, 16.336762733545413 48.175426988045686)","12., Eichenstraße 25",,11,
TAXIOGD.9,9,"LINESTRING (16.332571475561362 48.174888530888424, 16.332876133369794 48.17495157100754)","12., Eichenstraße 70",,4,
TAXIOGD.10,10,"LINESTRING (16.338900997401158 48.18139316195158, 16.339230842464637 48.18101162608724)","12., Längenfeldgasse ggü. 22-24",,9,
TAXIOGD.11,11,"LINESTRING (16.335244037670382 48.184626932515634, 16.33552626550594 48.18473831173687)","12., Schönbrunner Straße ggü. 209-211",,4,
TAXIOGD.12,12,"LINESTRING (16.327352592411927 48.18315235062717, 16.32823511716811 48.18323979773983)","12., Schönbrunner Straße 222-228",,10,
TAXIOGD.13,13,"LINESTRING (16.37120762749561 48.22925263499255, 16.371208690898364 48.229240457950304, 16.371206004076264 48.229230788893666, 16.371059421693158 48.22885945722451)","20., Jägerstraße 26-30",,9,
TAXIOGD.14,14,"LINESTRING (16.367176006213104 48.23590936841253, 16.36666619793819 48.235901984780334)","20., Wexstraße 20",,7,
TAXIOGD.15,15,"LINESTRING (16.37715364281574 48.24001137825676, 16.377278756782847 48.24025843986346)","20., Höchstädtplatz 1",,5,
TAXIOGD.16,16,"LINESTRING (16.38551571757386 48.23987152096573, 16.385766733167333 48.23999031084336)","20., Hellwagstraße 27",v. 20-6h,4,
TAXIOGD.17,17,"LINESTRING (16.385781215182643 48.239996750404714, 16.386140041073585 48.24016670414808)","20., Hellwagstraße 27",,6,
TAXIOGD.18,18,"LINESTRING (16.38397375986981 48.23735601999843, 16.38446118495228 48.23691818641033)","20., Leystraße 84",,12,
TAXIOGD.19,19,"LINESTRING (16.383912724095094 48.23318589287253, 16.384198197837293 48.232934369382576)","20., Dresdner Straße 87",,7,
TAXIOGD.20,20,"LINESTRING (16.398574266456123 48.22950689030034, 16.398355531399055 48.22938573873764)","2., Friedrich-Hillegeist-Straße 4",Mo.-Fr. (w.) v. 7.30-16h,3,
TAXIOGD.21,21,"LINESTRING (16.388435433882556 48.174087008163404, 16.38771308934054 48.17421100884185)","10., Quellenstraße ggü. 55",,11,
TAXIOGD.22,22,"LINESTRING (16.397626389473725 48.16825076306739, 16.397562753094533 48.16829748329449)","10., Laaer Wald","v. 1.4.-31.10., v. 9-21h",2,
TAXIOGD.23,23,"LINESTRING (16.377347668719747 48.17371476017858, 16.377160312694414 48.173350799300216)","10., Reumannplatz 11-12",,8,
TAXIOGD.24,24,"LINESTRING (16.377115176114536 48.173261300173564, 16.37715943877485 48.17334662113235)","10., Reumannplatz 10",Mo.-Fr. (w.) v. 10.30-6h,2,
TAXIOGD.25,25,"LINESTRING (16.38077975707144 48.16869838036494, 16.38094388690908 48.168800448106516, 16.380951300830706 48.16880375022633, 16.380960689298764 48.1688050685651, 16.380973041842527 48.16880407223408, 16.38098983730649 48.16880076065424, 16.380999226589143 48.1688010874849, 16.381008615635633 48.168803066822576, 16.381159372515448 48.16886845156549)","10., Klausenburger Straße 24-26",,6,
TAXIOGD.26,26,"LINESTRING (16.373848557731005 48.17665132126373, 16.37444697443838 48.17661179107576)","10., Pernerstorfergasse 36-38",,8,
TAXIOGD.27,27,"LINESTRING (16.36563366979039 48.175875156919226, 16.365592004399222 48.17560325850645)","10., Neilreichgasse 27-29",,5,
TAXIOGD.28,28,"LINESTRING (16.33533442820463 48.20894202440455, 16.335215910929136 48.20859337615047)","16., Brunnengasse 33-35",,6,
TAXIOGD.29,29,"LINESTRING (16.33867538842662 48.20205965332244, 16.338707923872004 48.2018633088234)","7., Urban-Loritz-Platz 6 ggü.",,4,
TAXIOGD.30,30,"LINESTRING (16.335523869740136 48.20407162168749, 16.334924378290737 48.204044758105645)","15., Gablenzgasse 5-7",,7,
TAXIOGD.31,31,"LINESTRING (16.32996964409544 48.204537870988446, 16.32959957061965 48.20459452472913)","15., Gablenzgasse 21-23",,5,
TAXIOGD.32,32,"LINESTRING (16.35469630609195 48.20907664224484, 16.35476309124187 48.208891635023186)","8., Auerspergstraße 17-21",,4,
TAXIOGD.33,33,"LINESTRING (16.3575198910767 48.20568241755646, 16.357891007787664 48.20590263112563)","1., Volksgartenstraße 3-5",v. 20-5h,7,
TAXIOGD.34,34,"LINESTRING (16.34221164494378 48.21700332305025, 16.342054106620402 48.216706966178656)","9., Hernalser Gürtel ggü. 32",,7,
TAXIOGD.271,271,"LINESTRING (16.36940386422847 48.204864437719145, 16.369237266173815 48.20467955012399)","1., Tegetthoffstraße ggü. 7",v.8-19h,4,
TAXIOGD.272,272,"LINESTRING (16.377358747098615 48.20447090313938, 16.377141812844137 48.20425860798101)","1., Parkring 14",,5,
TAXIOGD.273,273,"LINESTRING (16.43951031799843 48.19272491009056, 16.439465874610256 48.19276994869159)","2., Lusthaus  Aspernallee",,1,
TAXIOGD.274,274,"LINESTRING (16.373970313155922 48.21280029165357, 16.374027934521948 48.212881559648885)","1., Morzinplatz 3",,2,
TAXIOGD.275,275,"LINESTRING (16.327473195655827 48.21020596602551, 16.327943931775604 48.21013294863209)","16., Richard-Wagner-Platz ggü. 17 ggü. 18",,7,
TAXIOGD.276,276,"LINESTRING (16.31237149588861 48.21251447890809, 16.312772391152414 48.21245056650173)","16., Thaliastraße ggü. 140 ggü. 138",,6,
TAXIOGD.277,277,"LINESTRING (16.37359457732325 48.20114904663239, 16.373466263257775 48.20089431480711)","1., Canovagasse 1",,6,
TAXIOGD.278,278,"LINESTRING (16.38960519791555 48.2173033052439, 16.389757504186036 48.217383087865485)","2., Praterstraße 74 76","Mo.-Fr. (w.) v. 16-7h, Sa., So. u. Feiertag v. 0-24h ausgen. Taxi",3,
TAXIOGD.279,279,"LINESTRING (16.366583074699964 48.20285572146548, 16.36694397086411 48.20277466840008)","1., Opernring 17",v. 6-22h,6,
TAXIOGD.280,280,"LINESTRING (16.3677873270674 48.20247386955689, 16.367710418268896 48.20232037370007)","1., Operngasse 10",,8,
TAXIOGD.281,281,"LINESTRING (16.367709650908356 48.202319482461796, 16.367595914978846 48.20209383083316)","1., Operngasse 10",v. 6-22h,8,
TAXIOGD.282,282,"LINESTRING (16.36701249789099 48.20737494922253, 16.367165753068644 48.20712602387942)","1., Reitschulgasse 1",,,
TAXIOGD.283,283,"LINESTRING (16.473128046757115 48.222786792005905, 16.47345717862938 48.22266795588804)","22., Erzherzog-Karl-Straße 203",,4,
TAXIOGD.284,284,"LINESTRING (16.415799814081147 48.23192011193176, 16.41548622624037 48.23215501399674)","22., Platz-der-Vereinten-Nationen Wagramer Straße",,,
TAXIOGD.285,285,"LINESTRING (16.34865452610114 48.154136816001895, 16.348508262408497 48.154183846468115)","10., Otto-Probst-Straße 15",v. 7-18h,2,
TAXIOGD.286,286,"LINESTRING (16.381639362287295 48.16630942659383, 16.381703207642545 48.16615328417642)","10., Favoritenstraße Schleiergasse  183",,3,
TAXIOGD.287,287,"LINESTRING (16.283262163551537 48.134623694251225, 16.283587677153516 48.13446675407918)","23., Franz-Parsche-Gasse (bei Liesinger Platz)",,6,
TAXIOGD.288,288,"LINESTRING (16.336177196513276 48.18808412808959, 16.336346430294903 48.18814243524918)","15., Graumanngasse 16",,,
TAXIOGD.289,289,"LINESTRING (16.373993169738895 48.20132552513, 16.373740706892697 48.20126115624156)","1., Kärntner Ring Nebenfahrbahn Canovagasse Schwarzenbergplatz 18",,,
TAXIOGD.290,290,"LINESTRING (16.373486150051402 48.20130147605798, 16.373358591696928 48.201330013562206)","1., Kärntner Ring Nebenfahrbahn ggü. Canovagasse",,,
TAXIOGD.291,291,"LINESTRING (16.353401709495998 48.22299115820581, 16.353371255872865 48.22324756210374, 16.353369693368553 48.22325855084839, 16.353369697958282 48.22327215636463, 16.353369702723956 48.22328628348371, 16.353372840091993 48.22330093398203, 16.35337754491155 48.22331924782985, 16.35337990037135 48.223334945023936)","9., Nußdorfer Straße ggü. 5-7",,7,
TAXIOGD.292,292,"LINESTRING (16.336247315399554 48.19701630289235, 16.33686838252352 48.19715845446073)","15., Felberstraße (Nebenfahrbahn)",,8,
TAXIOGD.293,293,"LINESTRING (16.33812512259125 48.19712361252094, 16.338156424444 48.1971304726354, 16.338180156265544 48.19713195944805, 16.338202425199643 48.197132463776704, 16.33822548767726 48.19713075013942, 16.33824527468741 48.197128274386856, 16.33826235792547 48.197125228739196, 16.338283286497152 48.19711980319033)","15., Europaplatz",,,
TAXIOGD.294,294,"LINESTRING (16.338093954730837 48.19676489589962, 16.338129398621163 48.19666966857009)","15., Europaplatz",,2,
TAXIOGD.295,295,"LINESTRING (16.338186480289153 48.196528390047334, 16.338196354744 48.19651661102591, 16.338208499131035 48.19650550869901, 16.33822388865628 48.19649478402374, 16.338239093262008 48.19648505309801, 16.33825689231617 48.196476128135636, 16.338278585611764 48.19646943340767, 16.33830398808879 48.196462551994166, 16.338330687078873 48.19645908121873, 16.338354420165746 48.19645808924606, 16.338378894844176 48.19645908025307, 16.33840262808891 48.196461559643915, 16.338427102953222 48.19646651663989, 16.338447870400334 48.19647345895585, 16.338464928679734 48.19648089597174, 16.338488637204904 48.196493654567696)","15., Europaplatz",,4,
TAXIOGD.296,296,"LINESTRING (16.338287857361664 48.196943312781684, 16.33838054676348 48.19669876461269)","15., Europaplatz",,5,
TAXIOGD.297,297,"LINESTRING (16.36080297272695 48.20975068383058, 16.36077955022368 48.20975538555622, 16.36076430489648 48.20976016645829, 16.360742015129127 48.20977365538853, 16.36072715780038 48.209791399863434, 16.360719206007353 48.20981588548758, 16.36071365189012 48.20985305996596, 16.360710873400773 48.209873928099114, 16.360706236511213 48.20992292728017)","1., Universitätsring  2",v. 21.30-24h,,
TAXIOGD.298,298,"LINESTRING (16.379516309701522 48.212510093138086, 16.379656695971427 48.212490272990316, 16.3799210653876 48.21245784983899, 16.380090742868123 48.21243873968244)","2., Untere Donaustraße Taborstraße",,,
TAXIOGD.299,299,"LINESTRING (16.414662134014417 48.19085544608832, 16.415020128422714 48.19063676140258)","3., Erdbergstraße",,,
TAXIOGD.300,300,"LINESTRING (16.352276619732734 48.186089469617514, 16.352384238536423 48.185951518743174)","5., Kohlgasse 35",Mo.-Fr. (w.) v.8-20h,,
TAXIOGD.301,301,"LINESTRING (16.368793721651137 48.20434795475444, 16.3686930775075 48.204144876824635, 16.36866886215543 48.20410344872844, 16.368643894021194 48.20406555853382, 16.368620439657697 48.20403069973175)","1., Albertinaplatz Augustinerstraße Hanuschgasse",v.8-19h (ausgen. Omnibusse zum Aus- und Einsteigen) sowie v. 19-8h (ausgen. Taxi),6,
TAXIOGD.302,302,"LINESTRING (16.352326794802906 48.231042070964165, 16.351907987022877 48.23087697381961)","9., Währinger Gürtel 160","v. 22-7h, ausg. Taxi, sowie Mo.- Fr. v. 7-22h (Ladezone)",7,
TAXIOGD.303,303,"LINESTRING (16.361889584859604 48.226650700498126, 16.361946948181124 48.22649432484855)","9., Nordbergstraße ggü. 4-6",,4,
TAXIOGD.304,304,"LINESTRING (16.410892230082688 48.178481053892554, 16.411305923393947 48.178723694176824)","11., Rautenstrauchgasse 1-3",,6,
TAXIOGD.305,305,"LINESTRING (16.342563550016774 48.255737606843674, 16.342636092915775 48.25574077277989)","19., Cobenzlgasse 2",Mo.-Sa.(w.)v.8-12h,1,
TAXIOGD.306,306,"LINESTRING (16.367870338658584 48.216231492644205, 16.368069898199362 48.216323239464344)","1., Schottenring ggü. 20-24",,3,
TAXIOGD.307,307,"LINESTRING (16.44798202226706 48.270079157396005, 16.447994804758753 48.26997688237518, 16.44799764994059 48.26995661931671, 16.447995377934486 48.26990934939466)","21., Kürschnergasse Dopschstraße",,,
TAXIOGD.308,308,"LINESTRING (16.43860458339538 48.26917730922375, 16.438074709270374 48.269112054605856)","21., Dopschstraße 8",,,
TAXIOGD.309,309,"LINESTRING (16.334590422771907 48.214497909926294, 16.33478511705882 48.214533488080185)","16., Ottakringer Straße 37",Mo.-Fr. (w.) v. 11-17h,,
TAXIOGD.310,310,"LINESTRING (16.362884319779322 48.204233681756264, 16.3629383408308 48.204193587641335)","1., Burgring 5",Mo.- Fr.(w.) v. 9-18h ,1,
TAXIOGD.311,311,"LINESTRING (16.367306329211804 48.20742909071469, 16.367180945182902 48.20739647724704)","1., Habsburgergasse 11",,2,
TAXIOGD.312,312,"LINESTRING (16.370533956699944 48.20584711302965, 16.37047948294879 48.20571486664325, 16.37053040931865 48.20573341330733, 16.37063819088683 48.205986308522355)","1., Neuer Markt",,8,
TAXIOGD.313,313,"LINESTRING (16.359520880981748 48.206107707457065, 16.35975272425546 48.20624680575241)","1., Bellariastraße ggü. 2-4",,4,
TAXIOGD.314,314,"LINESTRING (16.317689789999505 48.192539670557856, 16.317610874974147 48.19251792810216, 16.317495340078175 48.19248200752502, 16.31739270003564 48.19245736415211, 16.317346775979285 48.192447744080305, 16.317242298891266 48.19243104801626)","15., Felberstraße 120-122",,6,
TAXIOGD.315,315,"LINESTRING (16.386534682165717 48.16733082545351, 16.38647914708044 48.16717216295684)","10., Absberggasse 53",von 6-20h,3,
TAXIOGD.316,316,"LINESTRING (16.38307742516372 48.20655416654075, 16.383386698581333 48.20646579179518)","3., Landstraßer Hauptstraße 1",,,
TAXIOGD.317,317,"LINESTRING (16.393650188294583 48.20745806032001, 16.393705143926542 48.2073759722679)","3., Löwengasse 41-43",v. 9-19h,2,
TAXIOGD.318,318,"LINESTRING (16.359255588357232 48.19726827882612, 16.359596475324484 48.197335477486256)","6., Linke Wienzeile  Kettenbrücke ggü.38-40",Sa. v. 5-18h,5,
TAXIOGD.319,319,"LINESTRING (16.358818944112972 48.19657784952143, 16.359077803803324 48.1966393620086, 16.359134167547346 48.19666015421459)","5., Rechte Wienzeile  Kettenbrücke ggü.41-43",Sa. v. 5-18h,5,
TAXIOGD.320,320,"LINESTRING (16.40541649355228 48.215384733088115, 16.40562865808185 48.21527407662564)","2., Welthandelsplatz  Messestraße",,,
TAXIOGD.321,321,"LINESTRING (16.34468210183113 48.19677980771737, 16.34452923462651 48.196745152572824)","6., Mariahilfer Straße 107",,2,
TAXIOGD.322,322,"LINESTRING (16.34486632546367 48.1968204834509, 16.344789891712793 48.19680315490251)","6., Mariahilfer Straße 107",,1,
TAXIOGD.323,323,"LINESTRING (16.345187336378576 48.19689722655003, 16.345086740230524 48.19686984797321, 16.34496007855745 48.196841385402664)","6., Mariahilfer Straße 107",,3,
TAXIOGD.324,324,"LINESTRING (16.37801258805194 48.20503824859484, 16.378474407575908 48.20549004382859)","1., Parkring ggü. 12",,9,
TAXIOGD.325,325,"LINESTRING (16.33894468678065 48.25733832905925, 16.339077952295856 48.25728563730239)","19., Cobenzlgasse 32",v. 17-5h,2,
TAXIOGD.326,326,"LINESTRING (16.33445194191516 48.201262614929334, 16.334803583582026 48.20131903804925)","15., Hütteldorfer Straße",,5,
TAXIOGD.327,327,"LINESTRING (16.386772662252017 48.20337390927883, 16.386815167549944 48.20333497363497, 16.386840251174952 48.20331148809556, 16.386886954477852 48.203263109974145)","3., Ungargasse 9 11",,3,
TAXIOGD.328,328,"LINESTRING (16.334204546207214 48.171234924248, 16.333970606958808 48.17127187907188, 16.33370022597054 48.171297822711395)","12., Wienerbergstraße 41",ausgen. Taxi,,
