FID,OBJECTID,SHAPE,BEZIRK,STRASSE,ONR,TELEFON,OEFFNUNGSZEIT,INFORMATION,ABTEILUNG,KATEGORIE,SE_ANNO_CAD_DATA
WCANLAGEOGD.137665,137665,POINT (16.349716564962275 48.1807602023042),5,Eichenstr. / Fendig. (Abgang zur Straßenbahn),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.137666,137666,POINT (16.388175521852077 48.15655649334741),10,Volkspark Laaerberg (nähe Freilufttheater),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.137667,137667,POINT (16.358497345751864 48.222873927380846),9,Liechtensteinpark,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.137668,137668,POINT (16.401646429127073 48.15132874578907),10,WIG 74 (Eingang Nord),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137669,137669,POINT (16.33841335993129 48.177634927961975),12,Aßmayergasse / Karl-Löwe-Gasse,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,Pissoir,
WCANLAGEOGD.137670,137670,POINT (16.381173857197737 48.203174542757296),3,Stadtpark (ggü. Reisnerstraße),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.137671,137671,POINT (16.386613648728474 48.172678636152554),10,Puchsbaumplatz ggü 10,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,Pissoir,
WCANLAGEOGD.137672,137672,POINT (16.228414012014564 48.20726926258126),14,Hauptstraße/bei der Kirche Mariabrunn,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.137673,137673,POINT (16.294749096772 48.21519941396266),16,Funkengerngasse/Gallitzinstr.,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,Pissoir,
WCANLAGEOGD.137674,137674,POINT (16.314740021531833 48.1881922991922),15,Auer Welsbach Park,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,Pissoir,
WCANLAGEOGD.137675,137675,POINT (16.33324211490534 48.21378060781668),16,Huberpark,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137676,137676,POINT (16.388742856210655 48.21381243645907),2,Robertstiege (Stiegenanlage unten beim Donaukanal,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.137677,137677,POINT (16.41608455351179 48.20427409480582),2,Stadionallee / Hauptallee,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.137678,137678,POINT (16.330693599243666 48.223142200020774),17,Diepoldplatz ,ggü 2,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.137679,137679,POINT (16.33754205536594 48.233978389485586),18,Türkenschanzpark/Gregor Mendel Str./Hasenauerstr.,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.137680,137680,POINT (16.329444933810738 48.23897861602587),19,Döblinger Friedh./ Hartäckerstraße,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,Pissoir,
WCANLAGEOGD.137681,137681,POINT (16.32346721628031 48.224116296143684),17,Lidlpark/Roggendorfgasse,ggü 5,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137682,137682,POINT (16.27743162312134 48.240736948995306),17,Schwarzenbergpark,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.137683,137683,POINT (16.336252214941247 48.2283589179281),18,Aumannplatz(Haltestelle 41),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.137684,137684,POINT (16.324797585028186 48.233915040462335),18,Bischof Faber Platz,ggü 9,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,Pissoir,
WCANLAGEOGD.137685,137685,POINT (16.34942426498264 48.23203427617724),18,Währinger Park(bei Semperstr.),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.137686,137686,POINT (16.313012990957418 48.25081889864294),19,Hackenberg (Lagerwiese),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137687,137687,POINT (16.341229626757123 48.24281184703899),19,Sonnberplatz ggü.6,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.137688,137688,POINT (16.36181499876001 48.25968503370381),19,Zahnradbahnstr.(Endstelle Linie D),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,Pissoir,
WCANLAGEOGD.137689,137689,POINT (16.348723893904932 48.194946815427556),6,Loquaiplatz/ggü Königseggasse,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.137690,137690,POINT (16.37741010864281 48.21744334091108),2,Karmelitermarkt,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.137691,137691,POINT (16.38023211038023 48.228192617786306),2,Rabbiner-Schneerson-Platz,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,Pissoir,
WCANLAGEOGD.137692,137692,POINT (16.382759327671963 48.19966857176429),3,Am Modenapark,ggü. 4,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.137693,137693,POINT (16.393720839693753 48.207552570187424),3,Kegelgasse / Löwengasse (Hundertwasserhaus),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Wartepersonal,
WCANLAGEOGD.137694,137694,POINT (16.347795347143773 48.18727572910049),5,Am Hundsturm,ggü. 10,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.137695,137695,POINT (16.405142783654885 48.2383330605261),22,"WIG 64 (Donaupark, Kinderspielplatz)",,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137696,137696,POINT (16.4181811239621 48.24068563254264),22,"WIG 64 (Donaupark, Eingang D, Parkplatz)",,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137697,137697,POINT (16.398348695046106 48.14672840913453),10,WIG 74 (West),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137698,137698,POINT (16.336455805140325 48.151206257156694),23,Inzersdorf/Station Badner Bahn,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.137699,137699,POINT (16.361397801562326 48.189979411236166),5,Mittersteig (Parkanlage),24 - 28,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137700,137700,POINT (16.274763192445025 48.18077433562493),13,Roter Berg/Heinz Nittel Weg,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.137701,137701,POINT (16.28231134766869 48.16841920117311),13,Wolkersbergenstr./Jakob Stainer G.,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137702,137702,POINT (16.397635021330185 48.257912459774374),21,Am Spitz (Amtshaus),1,+43 (1) 546 48,MO-FR: 10-18Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Wartepersonal,
WCANLAGEOGD.137703,137703,POINT (16.360393748428354 48.210963049891696),1,Rathauspark/Ring,,+43 (1) 546 48,Mo-SO:10-17 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Wartepersonal,
WCANLAGEOGD.137704,137704,POINT (16.362682649114834 48.21392261754529),1,U2 Schottentor,,+43 (1) 546 48,Mo-Fr: 6-20 Uhr
Sa: 6-19 Uhr
So: 9-19 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und mit Wartepersonal,
WCANLAGEOGD.137705,137705,POINT (16.448280614546732 48.152245807038256),11,Zentralfriedhof/ Tor 3,,+43 (1) 546 48,MO-SO: 8-18 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Wartepersonal,
WCANLAGEOGD.137706,137706,POINT (16.401861338235964 48.26134443839813),21,Floridsdorfer Markt / Pitkagasse,,+43 (1) 546 48,MO-DO: 7-15 Uhr
FR: 7-18 Uhr
SA: 7-14 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und mit Wartepersonal,
WCANLAGEOGD.137707,137707,POINT (16.349954465007357 48.198136289797574),6,Mariahilferstraße/Amerlingstraße,,+43 (1) 546 48,Okt-Apr:Mo-Sa: 9-20 So:10-17 Uhr
Mai-Sep:Mo-Sa:10-21 So:10-17 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Wartepersonal,
WCANLAGEOGD.137708,137708,POINT (16.361981250462264 48.19798759928765),6,Linke Wienzeile,ggü 26,+43 (1) 546 48,MO-FR: 6-18.30 Uhr 
SA: 6-17 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und mit Wartepersonal,
WCANLAGEOGD.137709,137709,POINT (16.35952871713862 48.1972666742971),6,Linke Wienzeile,ggü 38,+43 (1) 546 48,MO-FR: 6-18.30 Uhr 
SA: 6-17 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und mit Wartepersonal,
WCANLAGEOGD.137710,137710,POINT (16.337044083259226 48.27609409680688),19,Kahlenberg(Parkpl. unter Bushaltestelle),,+43 (1) 546 48,Mai-Sept. MO-SO: 10:00-20:00
Okt-Apr
Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Wartepersonal,
WCANLAGEOGD.137711,137711,POINT (16.402723228885115 48.21615130760313),2,Perspektivstraße (Messeparkplatz),,+43 (1) 546 48,Mai-Sept.: 
MO-SO: 9-18 Uhr
Okt-Apr:
Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und mit Wartepersonal,
WCANLAGEOGD.137712,137712,POINT (16.367628468705274 48.210366634873296),1,Irisgasse,,+43 (1) 546 48,Jan-April+Okt-Nov:
Mo-Sa: 9-18 Uhr
Mai-Sep+Dez:
Mo-So: 9-19 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Wartepersonal,
WCANLAGEOGD.137713,137713,POINT (16.332999875003402 48.181075925388626),12,Meidlinger Markt / Niederhofstraße,,+43 (1) 546 48,MO-SA: 6-21:00 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und mit Wartepersonal,
WCANLAGEOGD.137714,137714,POINT (16.363850356619743 48.19889448571193),6,Linke Wienzeile,ggü 12,+43 (1) 546 48,MO-SA: 6-22 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und mit Wartepersonal,
WCANLAGEOGD.137715,137715,POINT (16.390693712919113 48.20294980940478),3,Rochusmarkt,,+43 (1) 546 48,MO-FR: 6-18.30 Uhr
SA: 6-14 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und mit Wartepersonal,
WCANLAGEOGD.137716,137716,POINT (16.36916824379187 48.20914376841394),1,Am Graben,,+43 (1) 546 48,Jan-April+Okt-Nov:
Mo-Sa: 8-20 Uhr
So:8-17 Uhr
Mai-Sep+Dez:
Mo-Sa: 8-21 Uhr
So:8-20 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Wartepersonal,
WCANLAGEOGD.137717,137717,POINT (16.351047170413402 48.21189655736051),8,Florianigasse ( Schönbornpark ),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.137718,137718,POINT (16.401568124083813 48.221338129701266),2,Vorgartenmarkt / Ennsgasse,,+43 (1) 546 48,Mo-Do: 8-13 Uhr +Fr-Sa: 7-13 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und mit Wartepersonal,
WCANLAGEOGD.137719,137719,POINT (16.38665585782033 48.29153414670148),21,Strebersdorf / Rußbergstraße (Endstelle Linie 26),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.137720,137720,POINT (16.391909310641672 48.25600785711084),21,Floridsdorfer Aupark (Eingang ggü. Frömmlg.),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,Pissoir,
WCANLAGEOGD.137721,137721,POINT (16.3841633554641 48.270082201194555),21,Lorettoplatz / Überfuhrstr.,59 ggü.,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137722,137722,POINT (16.40733280135746 48.25305310830824),21,Kinzerplatz / Scheffelstraße (historisch),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,Pissoir,
WCANLAGEOGD.137723,137723,POINT (16.40797438425094 48.255090375648706),21,Hoßplatz,11 ggü.,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.137724,137724,POINT (16.42171852297027 48.23155645927116),22,Kaiserwasser (hinter Sportplatz),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.137725,137725,POINT (16.435479825271816 48.23062189480606),22,Rehlacke/Lagerwiesenweg,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137726,137726,POINT (16.47932258236879 48.24679878264704),22,"Badeteich Hirschst. (Spargelfeldstr.,Bibernellweg)",,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137727,137727,POINT (16.37199878421158 48.172717563148574),10,Arthaberplatz/Laxenburger Str.,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.137728,137728,POINT (16.40115032529734 48.19776992538029),3,Kardinal-Nagl-Platz / Erdbergstraße / Rüdengasse,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137729,137729,POINT (16.386139774524086 48.23777680048066),20,Allerheiligenplatz,16 ggü.,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137730,137730,POINT (16.36965429234241 48.22594489627434),20,Gaußplatz (im Park),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137731,137731,POINT (16.42362036776664 48.226443034979646),22,Schüttauplatz/Moissigasse,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137732,137732,POINT (16.412033162328292 48.24285895634295),22,"WIG 64 (Donaupark, Eingang C, Tennisplatz",,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137733,137733,POINT (16.337777676666626 48.20109388066178),7,Urban Loritz Platz,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137734,137734,POINT (16.39869310395997 48.15065889288804),10,WIG 74 (Gschroppenhaus),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137735,137735,POINT (16.380434604915493 48.20688827732566),1,Parkring/Wollzeile,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137736,137736,POINT (16.359214675629403 48.21155340746628),1,Rathauspark/Felderstraße,,+43 (1) 546 48,Mo-So: 9-17 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und mit Wartepersonal,
WCANLAGEOGD.137737,137737,POINT (16.358459802703525 48.20981139956898),1,Rathauspark/Lichtenfelsgasse,,+43 (1) 546 48,Mo-So: 9-17 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und mit Wartepersonal,
WCANLAGEOGD.137738,137738,POINT (16.364288505183396 48.18316257606572),5,Kliebergasse (Abgang zur Straßenbahnlinie 18),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137739,137739,POINT (16.25689161749068 48.1664390871339),13,Hermesstr./Lainzer Tor,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137740,137740,POINT (16.42098289921918 48.23067327593677),22,SV Donau/ Kaiserwasser,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137741,137741,POINT (16.394591654872727 48.25306317858928),21,Wasserpark/A.d.ob.alten Donau,1 ggü.,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137742,137742,POINT (16.275344623754382 48.197307766567356),14,Baumgartner Casino/Linzerstr.,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137743,137743,POINT (16.267728414410147 48.205693462900776),14,Dehnepark/Dehnegasse,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
